Anio;Codigo Dep;Nombre Dep;Codigo Mun;Municipio;Mes;Cantidad Muestras;Promedio Parametros;Promedio;Nivel de Riesgo;Cantidad Muestras Urbanas;Promedio Parametros Urbano;Promedio IRCA Urbano;Nivel Riesgo Urbano;Cantidad Muestras Rural;Promedio Parametros Rural;Promedio IRCA Rural;Nivel Riesgo Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;MARZO;11;129;26,5866;Riesgo Medio;11;129;26,5866;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;ABRIL;12;132;5,0826;Riesgo Bajo;12;132;5,0826;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;MAYO;12;165;12,0183;Riesgo Bajo;12;139;12,0183;Riesgo Bajo;1;31;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;JUNIO;12;143;11,3207;Riesgo Bajo;12;143;11,3207;Riesgo Bajo;3;4;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;JULIO;12;144;18,7106;Riesgo Medio;12;144;18,7106;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;AGOSTO;12;143;9,434;Riesgo Bajo;12;143;9,434;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;SEPTIEMBRE;12;144;5,3459;Riesgo Bajo;12;144;5,3459;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;OCTUBRE;12;144;10,3773;Riesgo Bajo;12;144;10,3773;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;NOVIEMBRE;12;144;20,283;Riesgo Medio;12;144;20,283;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;DICIEMBRE;12;144;8,1237;Riesgo Bajo;12;144;8,1237;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
