Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Excepción;38;;0;38;38;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2495;2495;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;98;;98;0;98;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1659;;0;0;1659;0;0;0;0;1659
diciembre 2019;Boyacá;Excepción;3497;;0;3497;3497;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;114413;114413;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;78590;;78590;0;78590;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;45593;;0;0;45593;0;0;0;0;45593
diciembre 2019;Boyacá;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1758;1758;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;105;;105;0;105;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1568;;0;0;1568;0;0;0;0;1568
diciembre 2019;Boyacá;Excepción;59;;0;59;59;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;8964,000000000;8964,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;406;;406;0;406;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;6499;;0;0;6499;0;0;0;0;6499
diciembre 2019;Boyacá;Excepción;9;;0;9;9;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1288;1288;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;85;;85;0;85;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;432;;0;0;432;0;0;0;0;432
diciembre 2019;Boyacá;Excepción;191;;0;191;191;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;6924;6924;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;4014;;4014;0;4014;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3183;;0;0;3183;0;0;0;0;3183
diciembre 2019;Boyacá;Excepción;70;;0;70;70;0;0;0;0;0
