Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Paya;Excepción;38;;0;38;38;0;0;0;0;0
diciembre 2019;Boyacá;Paya;Poblacion;0;0;0;0;2495;2495;0;0;0;0
diciembre 2019;Boyacá;Paya;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paya;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paya;Contributivo;98;;98;0;98;0;0;0;0;0
diciembre 2019;Boyacá;Paya;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paya;Subsidiado;1659;;0;0;1659;0;0;0;0;1659
diciembre 2019;Boyacá;Duitama;Excepción;3497;;0;3497;3497;0;0;0;0;0
diciembre 2019;Boyacá;Duitama;Poblacion;0;0;0;0;114413;114413;0;0;0;0
diciembre 2019;Boyacá;Duitama;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Duitama;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Duitama;Contributivo;78590;;78590;0;78590;0;0;0;0;0
diciembre 2019;Boyacá;Duitama;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Duitama;Subsidiado;45593;;0;0;45593;0;0;0;0;45593
diciembre 2019;Boyacá;Tutazá;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2019;Boyacá;Tutazá;Poblacion;0;0;0;0;1758;1758;0;0;0;0
diciembre 2019;Boyacá;Tutazá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tutazá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tutazá;Contributivo;105;;105;0;105;0;0;0;0;0
diciembre 2019;Boyacá;Tutazá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tutazá;Subsidiado;1568;;0;0;1568;0;0;0;0;1568
diciembre 2019;Boyacá;Tibaná;Excepción;59;;0;59;59;0;0;0;0;0
diciembre 2019;Boyacá;Tibaná;Poblacion;0;0;0;0;8964,000000000;8964,000000000;0;0;0;0
diciembre 2019;Boyacá;Tibaná;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tibaná;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tibaná;Contributivo;406;;406;0;406;0;0;0;0;0
diciembre 2019;Boyacá;Tibaná;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tibaná;Subsidiado;6499;;0;0;6499;0;0;0;0;6499
diciembre 2019;Boyacá;Busbanzá;Excepción;9;;0;9;9;0;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;Poblacion;0;0;0;0;1288;1288;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;Contributivo;85;;85;0;85;0;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Busbanzá;Subsidiado;432;;0;0;432;0;0;0;0;432
diciembre 2019;Boyacá;Socha;Excepción;191;;0;191;191;0;0;0;0;0
diciembre 2019;Boyacá;Socha;Poblacion;0;0;0;0;6924;6924;0;0;0;0
diciembre 2019;Boyacá;Socha;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Socha;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Socha;Contributivo;4014;;4014;0;4014;0;0;0;0;0
diciembre 2019;Boyacá;Socha;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Socha;Subsidiado;3183;;0;0;3183;0;0;0;0;3183
diciembre 2019;Boyacá;Paz De Río;Excepción;70;;0;70;70;0;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;Poblacion;0;0;0;0;4443,000000000;4443,000000000;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;Contributivo;1795;;1795;0;1795;0;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Paz De Río;Subsidiado;1543;;0;0;1543;0;0;0;0;1543
diciembre 2019;Boyacá;Tununguá;Excepción;16;;0;16;16;0;0;0;0;0
diciembre 2019;Boyacá;Tununguá;Poblacion;0;0;0;0;1934;1934;0;0;0;0
diciembre 2019;Boyacá;Tununguá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tununguá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tununguá;Contributivo;63;;63;0;63;0;0;0;0;0
diciembre 2019;Boyacá;Tununguá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tununguá;Subsidiado;1249;;0;0;1249;0;0;0;0;1249
diciembre 2019;Boyacá;Berbeo;Excepción;13;;0;13;13;0;0;0;0;0
diciembre 2019;Boyacá;Berbeo;Poblacion;0;0;0;0;1941;1941;0;0;0;0
diciembre 2019;Boyacá;Berbeo;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Berbeo;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Berbeo;Contributivo;106;;106;0;106;0;0;0;0;0
diciembre 2019;Boyacá;Berbeo;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Berbeo;Subsidiado;1190;;0;0;1190;0;0;0;0;1190
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Excepción;39;;0;39;39;0;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Poblacion;0;0;0;0;13402;13402;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Contributivo;1547;;1547;0;1547;0;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Santa Rosa De Viterbo;Subsidiado;4985;;0;0;4985;0;0;0;0;4985
diciembre 2019;Boyacá;Tasco;Excepción;60;;0;60;60;0;0;0;0;0
diciembre 2019;Boyacá;Tasco;Poblacion;0;0;0;0;6117;6117;0;0;0;0
diciembre 2019;Boyacá;Tasco;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tasco;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tasco;Contributivo;1808;;1808;0;1808;0;0;0;0;0
diciembre 2019;Boyacá;Tasco;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Tasco;Subsidiado;2708;;0;0;2708;0;0;0;0;2708
diciembre 2019;Boyacá;Coper;Excepción;33;;0;33;33;0;0;0;0;0
diciembre 2019;Boyacá;Coper;Poblacion;0;0;0;0;3455;3455;0;0;0;0
diciembre 2019;Boyacá;Coper;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Coper;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Coper;Contributivo;180;;180;0;180;0;0;0;0;0
diciembre 2019;Boyacá;Coper;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Coper;Subsidiado;2543;;0;0;2543;0;0;0;0;2543
diciembre 2019;Boyacá;Úmbita;Excepción;99;;0;99;99;0;0;0;0;0
diciembre 2019;Boyacá;Úmbita;Poblacion;0;0;0;0;10337;10337;0;0;0;0
diciembre 2019;Boyacá;Úmbita;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Úmbita;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Úmbita;Contributivo;307;;307;0;307;0;0;0;0;0
diciembre 2019;Boyacá;Úmbita;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Úmbita;Subsidiado;5392;;0;0;5392;0;0;0;0;5392
diciembre 2019;Boyacá;Güicán;Excepción;151;;0;151;151;0;0;0;0;0
diciembre 2019;Boyacá;Güicán;Poblacion;0;0;0;0;6506;6506;0;0;0;0
diciembre 2019;Boyacá;Güicán;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Güicán;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Güicán;Contributivo;461;;461;0;461;0;0;0;0;0
diciembre 2019;Boyacá;Güicán;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Güicán;Subsidiado;3512;;0;0;3512;0;0;0;0;3512
diciembre 2019;Boyacá;San Miguel De Sema;Excepción;29;;0;29;29;0;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;Poblacion;0;0;0;0;4522,000000000;4522,000000000;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;Contributivo;397;;397;0;397;0;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;San Miguel De Sema;Subsidiado;1789;;0;0;1789;0;0;0;0;1789
diciembre 2019;Boyacá;Toca;Excepción;64;;0;64;64;0;0;0;0;0
diciembre 2019;Boyacá;Toca;Poblacion;0;0;0;0;9961,000000000;9961,000000000;0;0;0;0
diciembre 2019;Boyacá;Toca;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Toca;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Toca;Contributivo;1796;;1796;0;1796;0;0;0;0;0
diciembre 2019;Boyacá;Toca;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Toca;Subsidiado;6532;;0;0;6532;0;0;0;0;6532
diciembre 2019;Boyacá;El Espino;Excepción;47;;0;47;47;0;0;0;0;0
diciembre 2019;Boyacá;El Espino;Poblacion;0;0;0;0;4226;4226;0;0;0;0
diciembre 2019;Boyacá;El Espino;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Espino;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Espino;Contributivo;268;;268;0;268;0;0;0;0;0
diciembre 2019;Boyacá;El Espino;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Espino;Subsidiado;1801;;0;0;1801;0;0;0;0;1801
diciembre 2019;Boyacá;El Cocuy;Excepción;102;;0;102;102;0;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;Poblacion;0;0;0;0;5085,000000000;5085,000000000;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;Contributivo;575;;575;0;575;0;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;El Cocuy;Subsidiado;3242;;0;0;3242;0;0;0;0;3242
diciembre 2019;Boyacá;Guateque;Excepción;453;;0;453;453;0;0;0;0;0
diciembre 2019;Boyacá;Guateque;Poblacion;0;0;0;0;9360;9360;0;0;0;0
diciembre 2019;Boyacá;Guateque;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Guateque;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Guateque;Contributivo;3764;;3764;0;3764;0;0;0;0;0
diciembre 2019;Boyacá;Guateque;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Guateque;Subsidiado;4521;;0;0;4521;0;0;0;0;4521
diciembre 2019;Boyacá;Nobsa;Excepción;2;;0;2;2;0;0;0;0;0
diciembre 2019;Boyacá;Nobsa;Poblacion;0;0;0;0;16612,000000000;16612,000000000;0;0;0;0
diciembre 2019;Boyacá;Nobsa;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Nobsa;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Nobsa;Contributivo;3840;;3840;0;3840;0;0;0;0;0
diciembre 2019;Boyacá;Nobsa;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Nobsa;Subsidiado;5286;;0;0;5286;0;0;0;0;5286
diciembre 2019;Boyacá;Gachantivá;Excepción;13;;0;13;13;0;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;Poblacion;0;0;0;0;2497,000000000;2497,000000000;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;Contributivo;164;;164;0;164;0;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Gachantivá;Subsidiado;2225;;0;0;2225;0;0;0;0;2225
diciembre 2019;Boyacá;Monguí;Excepción;32;;0;32;32;0;0;0;0;0
diciembre 2019;Boyacá;Monguí;Poblacion;0;0;0;0;4982;4982;0;0;0;0
diciembre 2019;Boyacá;Monguí;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Monguí;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Monguí;Contributivo;804;;804;0;804;0;0;0;0;0
diciembre 2019;Boyacá;Monguí;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Monguí;Subsidiado;2467;;0;0;2467;0;0;0;0;2467
diciembre 2019;Boyacá;Betéitiva;Excepción;7;;0;7;7;0;0;0;0;0
