No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
27.0|11212080.0|24.0|463.0|PAZ DEL RIO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
5.0|394560.0|4.0|5.0|SAMACA|4752|COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA- PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS|
8.0|2531760.0|85.0|13.0|TUNJA|8790|OTRAS ACTIVIDADES DE ATENCION EN INSTITUCIONES CON ALOJAMIENTO|
3.0|164400.0|2.0|6.0|PUERTO BOYACA|4775|COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO|
155.0|56126160.0|115.0|2355.0|SOGAMOSO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
431.0|53724600.0|247.0|1766.0|DUITAMA|4923|TRANSPORTE DE CARGA POR CARRETERA|
1.0|32880.0|2.0|0.0|VILLAPINZON|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
85.0|26008080.0|193.0|1106.0|DUITAMA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
1.0|131520.0|0.0|0.0|MOTAVITA|8560|ACTIVIDADES DE APOYO A LA EDUCACION|
232.0|30740370.0|351.0|1388.0|TUNJA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
100.0|10094160.0|222.0|173.0|TUNJA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
1.0|164400.0|0.0|3.0|SOCHA|2511|FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL|
27.0|986400.0|42.0|8.0|DUITAMA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
9.0|164400.0|3.0|18.0|SOGAMOSO|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
60.0|1676880.0|38.0|31.0|SANTAFE DE BOGOTA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
4.0|657600.0|6.0|41.0|PUERTO BOYACA|0910|ACTIVIDADES DE APOYO PARA LA EXTRACCION DE PETROLEO Y DE GAS NATURAL|
6.0|1512480.0|24.0|37.0|MEDELLIN|7820|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|
