No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
9.0|3081250.0|87.0|15.0|TUNJA|8790|OTRAS ACTIVIDADES DE ATENCION EN INSTITUCIONES CON ALOJAMIENTO|
1.0|0.0|4.0|3.0|MOTAVITA|8560|ACTIVIDADES DE APOYO A LA EDUCACION|
163.0|64798150.0|124.0|2434.0|SOGAMOSO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
435.0|55820810.0|266.0|1765.0|DUITAMA|4923|TRANSPORTE DE CARGA POR CARRETERA|
2.0|108750.0|5.0|9.0|SANTAFE DE BOGOTA|7210|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA|
15.0|5836250.0|110.0|111.0|DUITAMA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
3.0|72500.0|2.0|4.0|PUERTO BOYACA|4775|COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO|
1.0|36250.0|3.0|0.0|VILLAPINZON|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
26.0|10419780.0|26.0|479.0|PAZ DEL RIO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
220.0|33220210.0|364.0|1406.0|TUNJA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
105.0|11890000.0|266.0|191.0|TUNJA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
6.0|3588750.0|39.0|54.0|PAIPA|4731|COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES|
26.0|1015000.0|41.0|6.0|DUITAMA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
91.0|28594510.0|192.0|1100.0|DUITAMA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
60.0|1921250.0|39.0|27.0|SANTAFE DE BOGOTA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
4.0|326250.0|6.0|40.0|PUERTO BOYACA|0910|ACTIVIDADES DE APOYO PARA LA EXTRACCION DE PETROLEO Y DE GAS NATURAL|
9.0|2501250.0|52.0|58.0|SOGAMOSO|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
54.0|7039600.0|187.0|95.0|SOGAMOSO|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
16.0|2537500.0|16.0|78.0|PAIPA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
3.0|145000.0|4.0|3.0|DUITAMA|4755|COMERCIO AL POR MENOR DE ARTICULOS Y UTENSILIOS DE USO DOMESTICO|
4.0|290000.0|5.0|6.0|SOGAMOSO|7730|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA- EQUIPO Y BIENES TANGIBLES NCP|
1.0|0.0|0.0|0.0|PAIPA|7420|ACTIVIDADES DE FOTOGRAFIA|
14.0|1196250.0|11.0|21.0|SANTAFE DE BOGOTA|7310|PUBLICIDAD|
10.0|145000.0|37.0|77.0|SOGAMOSO|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
1.0|0.0|0.0|2.0|CARTAGENA|4754|COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO- MUEBLES Y EQUIPOS DE ILUMINACION|
2.0|36250.0|1.0|2.0|TUNJA|7710|ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES|
24.0|1848750.0|58.0|21.0|SOGAMOSO|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
1.0|72500.0|0.0|2.0|RAQUIRA|6120|ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS|
5.0|72500.0|5.0|0.0|MIRAFLORES|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
2.0|72500.0|15.0|0.0|DUITAMA|8730|ACTIVIDADES DE ATENCION EN INSTITUCIONES PARA EL CUIDADO DE PERSONAS MAYORES Y/O DISCAPACITADAS|
1.0|145000.0|1.0|6.0|SOCHA|2511|FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL|
6.0|1268750.0|22.0|36.0|MEDELLIN|7820|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|
1.0|326250.0|0.0|10.0|SATIVANORTE|4923|TRANSPORTE DE CARGA POR CARRETERA|
